Geography,Date,Delegates,Won,Bernie,Independents,Type,SouthEast,NorthEast,MidWest,West,InternetAccess,Dem2004,FBshare,FBnet,Google,Age18to34,Age45to54,Age55plus,RaceWhite,RaceBlack,RaceHispanic,RaceAsian,Income0to50,Income50to75,Income75plus,EduHSorless,EduBSorAA,EduGrad,Employed,Unemployed,FoodStamps,Retirement,IndustryFinance,IndustryManufacturing,MedianAge,MedianIncome,HousingRent,Poverty12mo
Alabama,3/1/2016,53,9,19.2,Open,primary,1,0,0,0,68.7,25.62,0.6666666667,4,0.3469388,22.8,14,27.7,69.9,27.1,2.3,1.4,63.4,20.2,16.5,47,44.7,8.4,52,6,15.9,21,5.8,13.5,38.4,43.607,30.1,18.7
Alaska,3/26/2016,16,13,81.6,Closed,caucus,0,0,0.25,0.75,82.6,25.55,0.8275862069,15,0.4025974,25.2,13.8,20.5,69.1,3.3,5.5,7.1,45.7,25.8,28.6,34.4,55.6,10,61.4,5.9,10.3,19,4.1,2.6,32.4,72.585,36.1,10
Arizona,3/22/2016,75,31,39.9,Closed,primary,0,0,0,1,76.2,10.47,0.7666666667,16,0.3731343,23.39,12,26.6,81.1,4.4,24.9,3.6,57.8,21.4,20.8,33.9,55.7,10.4,53.5,6,12.2,21.5,8.5,6.9,34.7,52.01,35.5,17.1
Arkansas,3/1/2016,32,10,29.7,Open,primary,1,0,0,0,65.7,9.76,0.65,6,0.2857143,22.7,13.3,27.9,79.5,16.2,4.1,1.5,68.4,18.2,13.4,49.8,43.2,7,53.4,5,14.9,18.2,5,12.6,37.7,41.466,32.7,18.9
California,6/7/2016,475,,,Closed,primary,0,0,0,1,80.5,-9.95,0.7291666667,15,0.3809524,24.83,11.4,21.4,68.9,7.6,33,14.9,45.5,22.5,32,30,57.6,12.4,54.9,7.3,7.3,19,7.1,8,29.6,66.175,42.1,15.6
Colorado,3/1/2016,66,38,59,Closed,caucus,0,0,0,1,83,4.67,0.8333333333,28,0.3469388,24.29,13.6,24.6,86.8,3.9,17.5,3.7,51.1,23.1,25.8,28.2,57.8,14.1,62.4,5.4,7.9,16.9,7.3,6.8,35.5,61.203,33.8,12.3
Connecticut,4/26/2016,55,,,Closed,primary,0,1,0,0,83.9,-10.37,0.7619047619,22,0.3611111,20.99,15.2,27.7,82.2,9.5,12.2,4.4,39.8,25.3,34.9,36.3,47.3,16.4,60.4,6.5,11.8,19.3,9.4,10.3,39.5,71.368,30.7,10.3
Delaware,4/26/2016,21,,,Closed,primary,1,0,0,0,78.1,-7.59,0.724137931,13,0.3292683,22.6,14.3,28.7,72.4,22,6.3,3.8,53.3,24.4,22.3,43.6,45.5,11,57.3,5.5,12.6,24.9,10,8.9,39,60.35,26.9,11.8
District of Columbia,6/14/2016,20,,,Closed,primary,1,0,0,0,75.8,-79.84,0.5074626866,1,0.3246753,34.7,11.5,22.1,39.9,53.7,5.6,4.5,33,23.8,43.2,28.5,41.6,29.8,59.2,7.5,14.9,15.7,5.5,1.2,32.5,70.266,57.4,18.7
Florida,3/15/2016,214,72,33.3,Closed,primary,0.5,0.5,0,0,78.3,5.01,0.6956521739,15,0.3442623,21.51,12.9,30.2,78.7,15.9,15.2,3,62.1,19.6,18.2,40.5,49.7,9.8,51.3,6.5,12.7,21.9,8,5.1,38.9,48.989,32,16
Georgia,3/1/2016,102,28,28.2,Open,primary,1,0,0,0,76.3,16.6,0.6842105263,7,0.3157895,23.9,13.7,23.5,62.6,32.4,5.4,3.8,59.3,20.9,19.8,42.5,47.5,10.2,54.8,6.9,15.2,17.6,6.6,10.2,35,49.771,34.7,18.2
Hawaii,3/26/2016,25,17,69.8,Closed,caucus,0,0,0,1,83.3,-8.74,0.8222222222,15,0.3928571,23.5,12.1,26.2,28.6,2.2,10.6,57.4,54.7,24.2,21.1,34.2,54.4,11.3,56.9,4.3,10.3,23.9,6.7,2.9,34.8,69.544,42.1,11.1
Idaho,3/22/2016,23,18,78,Open,caucus,0,0,0,1,78.6,38.12,0.84,17,0.4084507,23.2,12.4,25.7,93.6,0.5,8.6,1.9,64.1,19.9,16.1,36.3,55.5,8.2,57.6,5,12.1,18.3,5.6,9.3,34.8,48.25,30.1,15.1
Illinois,3/15/2016,156,67,48.7,Open,primary,0,0,1,0,79.3,-10.34,0.7619047619,22,0.375,23.59,13.6,25.1,75.8,16.1,11.6,5.2,50,23.9,26.2,36.4,51.5,12.1,58.6,6.8,12.2,18.4,7.8,11.2,35.3,58.212,31.8,14.2
Indiana,5/3/2016,83,,,Open,primary,0,0,1,0,75.3,20.68,0.7777777778,15,0.3728814,22.9,14,26.4,86.4,9.3,4.4,2,61.5,22,16.4,46.9,45,8.1,58.2,5.7,12.5,19.2,5.4,18.3,37.3,49.153,29.7,15.1
Iowa,2/1/2016,44,21,49.6,Open,caucus,0,0,1,0,78.7,0.67,0.71875,14,0.3288591,22.7,13.7,28.6,93.7,2.9,3.7,2.1,61.8,22.7,15.4,40.4,51.6,8,64.1,3.6,11.3,17,7.7,14.1,38.3,53.008,27.2,12.2
Kansas,3/5/2016,33,24,67.7,Closed,caucus,0,0,1,0,78.8,25.38,0.7857142857,16,0.3809524,23.4,13.3,26.5,87.7,5.8,7.9,2.9,61,21.3,17.8,35.4,54,10.7,62,4.3,9.3,17.1,6.3,11.7,35.8,52.58,31.9,13.2
Kentucky,5/17/2016,55,,,Closed,primary,1,0,0,0,74.8,19.86,0.7272727273,10,0.3559322,22.6,14.3,27.2,89.2,7.8,2,1.4,64.5,20.6,14.9,50.2,41.1,8.6,53.4,5.5,17.2,20.1,5.5,13.5,38.5,43.389,31.5,18.7
Louisiana,3/5/2016,51,14,23.2,Closed,primary,1,0,0,0,70.3,14.51,0.6875,6,0.3454545,24.2,13.7,25.3,63.4,33.2,2.7,1.9,61.6,20.4,18,50.9,41.9,7.2,55,5.3,16.6,16.4,5.3,8,35.8,44.961,32.9,19.5
Maine,3/6/2016,25,16,64.2,Closed,caucus,0,1,0,0,79.2,-9,0.8409090909,30,0.4,19.7,15.8,32.1,96.4,0.6,1.2,1.4,62.8,22,15.2,42.2,47.9,9.9,59.2,4.8,17.1,19.3,6.2,9.3,43.4,48.99,28.2,13.6
Maryland,4/26/2016,95,,,Closed,primary,1,0,0,0,83.4,-12.98,0.5925925926,12,0.3432836,22.93,14.7,25.9,62.5,30.7,5,6.4,41.2,24.5,34.3,36.1,47.7,16.2,61.4,5.6,10.5,22.1,6.5,5,37,74.819,31.2,9.8
Massachusetts,3/1/2016,91,45,48.7,Closed,primary,0,1,0,0,85.3,-25.16,0.7454545455,27,0.3823529,23.33,14.5,27.1,86.5,5.5,8.2,6,39.8,26.1,34,33.4,49.4,17.2,61.6,5.6,11.3,17.7,8,8.5,38.1,70.385,34.5,10.9
Michigan,3/8/2016,130,67,49.8,Open,primary,0,0,1,0,76.3,-3.42,0.8,15,0.3947368,21.76,14.6,27.9,80.7,14.6,3.8,2.9,56.4,23,20.7,40.7,49.7,9.5,54.3,7.1,17.1,23.4,5.6,17,39,49.012,27.9,16.7
Minnesota,3/1/2016,77,46,61.7,Open,caucus,0,0,1,0,82.6,-3.48,0.7674418605,23,0.3962264,23,14.6,26.9,89.5,4.2,3.3,4.7,51.7,24.7,23.5,32.9,56.5,10.5,65.5,4.4,7.8,16.7,7.3,12.9,37.8,61.713,25.8,10.8
Mississippi,3/8/2016,36,4,16.5,Open,primary,1,0,0,0,62.3,19.69,0.6363636364,3,0.2909091,23.3,13.4,25.8,59.6,38.1,1.8,1.1,69.7,17.8,12.5,48,44.6,7.4,51.4,6.4,18.1,17.9,4.9,13,36.3,39.376,30.7,22.6
Missouri,3/15/2016,71,35,49.4,Open,primary,0.5,0,0.5,0,75.6,7.2,0.7692307692,14,0.3943662,22.83,14.1,27.7,84.4,11.7,2.8,2.1,62.9,20.3,16.7,43.3,47.2,9.6,57.9,5.4,13.7,19.3,6.9,11.1,38.1,47.89,31.5,15.4
Montana,6/7/2016,21,,,Open,primary,0,0,0,1,77.6,20.5,0.8333333333,20,0.4084507,22,13.9,30.1,89.9,0.4,2.9,1.1,65.9,19.7,14.4,37.3,53.6,9.1,59.8,4.4,10.8,18,5.5,4.6,39.6,46.864,32.1,15.3
Nebraska,3/5/2016,25,15,57.2,Closed,caucus,0,0,1,0,78.8,33.22,0.7666666667,16,0.3866667,23.5,13.3,26.9,90.7,4.4,6.6,2.2,62.7,21.1,16.1,35,55.6,9.4,66.5,3.6,8.5,14.4,7.8,9.1,36.2,53.512,32.2,12.1
Nevada,2/20/2016,35,15,47.3,Closed,caucus,0,0,0,1,79.4,2.59,0.7272727273,15,0.3392857,23.55,12.4,24.9,75,9.6,20.4,9,56.6,22.6,20.7,38.5,53.1,8.4,55.4,7.8,11,20.1,6.4,4,34.1,54.158,43.2,15.2
New Hampshire,2/9/2016,24,15,60.4,Closed,primary,0,1,0,0,85.7,-1.37,0.8048780488,25,0.3684211,20.5,16.4,29,96.2,0.8,2.4,2.6,50,24.7,25.3,36.9,50.7,12.4,64.3,4.4,8.1,18.2,6.4,12.3,41.6,66.008,28.2,8.7
New Jersey,6/7/2016,126,,,Closed,primary,0,1,0,0,84.5,-6.68,0.6923076923,15,0.3384615,21.41,14.2,26.3,75.5,14.4,13.5,9,38.9,24.6,36.4,38.5,48.3,13.3,58.2,6.6,7.7,20.3,8.9,7.6,36.7,74.086,30.4,10.3
New Mexico,6/7/2016,34,,,Closed,primary,0,0,0,1,68.1,0.79,0.8055555556,22,0.3636364,23,12.8,27.1,73.8,2.2,43.7,2,62,20.1,18,38.7,49.6,11.8,53.6,5.6,14.3,20.9,4.8,4.6,35.7,46.754,31.1,20
New York,4/19/2016,247,,,Closed,primary,0,1,0,0,80.6,-18.29,0.6956521739,18,0.3521127,27.56,13.2,25,73.5,14.5,14.3,8.2,46.8,23.3,29.9,37.3,47,15.7,56.9,5.7,13.4,20.2,8.4,6.7,34.5,61.553,41,14.8
